Rip,Name (Showing 19337 of 19337 Total),"Species Corrected",In Latin Genus List Ref.,"Created Date","Updated Date",Maker,Maker List Ref.,Build,Padding,Appearance,Leg Type,Finger Type,Base Colour,Eye Colour,Avatar Type,Pulled
,Alex,Coyote,25,,,1Pup Suits,2,Partial,None,Toony,N/A,N/A,Brown,Red,Dog Thick Tail,
Angry Owner: Chibemo Species: corgi DB Added: 2015-06-01 Created: 2014-03-30 Updated: 2015-06-01 Builder(s): Chibemo,Angry,Dog Corgi,43,30-03-2014,01-06-2015,1Pup Suits,2,Partial,None,Toony,Plantigrade,Four,Black,Red,Dog Half Cocked Stub Tail,
,Atok,Hybrid Dutch Angel Dragon,123,,,1Pup Suits,2,Fullsuit,None,Realistic Toony,Digitigrade,Four,Brown,White,Angel Dragon,
,Baileys,Fox,100,,,1Pup Suits,2,Partial,None,Toony,Plantigrade,Four,Purple,Green,Fox,
,Chibemo,Hybrid Custom,120,,,1Pup Suits,2,Partial,None,Realistic Toony,Plantigrade,Four,Purple,Blue,Hybrid,
,Chibemo,Hybrid Custom,120,,,1Pup Suits,2,Partial,None,Realistic Toony,Plantigrade,Four,Purple,Blue,Hybrid,
,Dipper,Hybrid Dutch Angel Dragon,123,,,1Pup Suits,2,Partial,None,Realistic Toony,Digitigrade,Four,Purple,Black,Angel Dragon,
,Dumpster,Possum,179,,,1Pup Suits,2,Partial,None,Toony,Plantigrade,Five,Grey,Pink,"Mustelidae (Weasel, Meerkat etc)",
,Finney,Fox,100,,,1Pup Suits,2,Partial,None,Toony,Plantigrade,Four,Brown,Red,Fox,
,Squatch,Snow Leopard,196,,,1Pup Suits,2,Fullsuit,None,Toony,Digitigrade,Four,Grey,Blue,Snow Leopard,
,Talia,Fantasy - Dragon,78,,,1Pup Suits,2,Fullsuit,None,Toony,Digitigrade,Four,Green,Yellow,Dragon,
,Tazard,Extinct Mammal,71,,,1Pup Suits,2,Partial,None,Toony,Plantigrade,Four,Brown,Green,Extinct,
,Twitterlu,Lion,152,,,1Pup Suits,2,Fullsuit,None,Toony,Plantigrade,Five,Brown,Blue,Lion,
,3D Kitty,Cat Domestic,18,,,2 Stupid Furs,3,Partial,None,Toony,Plantigrade,Four,White,Black,Domestic Cat,
,3dhome,Ferret,98,,,2 Stupid Furs,3,Partial,None,Toony,Plantigrade,Five,Brown,Blue,Ferret,
,Abby,Badger,8,,,2 Stupid Furs,3,Partial,None,Toony,Plantigrade,Four,Blue,Purple,Missingno (No Avatar Graphic Found),
,Alien Husky,Hybrid Custom,120,,,2 Stupid Furs,3,Partial,None,Realistic Toony,Plantigrade,Four,Pink,White,Hybrid,
,Arrow,Fox,100,,,2 Stupid Furs,3,Fullsuit,None,Toony,Digitigrade,Four,Orange,Multi,Fox,
,Artistic Liberty Cat,Cat Domestic,18,,,2 Stupid Furs,3,Partial,None,Toony,Plantigrade,Four,Blue,Grey,Domestic Cat,
,Bromley,Lion,152,,,2 Stupid Furs,3,Partial,None,Toony,Plantigrade,Four,Grey,Blue,Lion,
,Buckley,Wolf,210,,,2 Stupid Furs,3,Partial,None,Toony,Plantigrade,Four,Grey,Multi,Wolf,
,Buckley,Wolf,210,,,2 Stupid Furs,3,Fullsuit,None,Toony,Digitigrade,Four,Grey,Multi,Wolf,
,Clock Hand,Hybrid Custom,120,,,2 Stupid Furs,3,Fullsuit,None,Toony,Digitigrade,Four,Grey,Green,Hybrid,
,Eroka,Cat Domestic,18,,,2 Stupid Furs,3,Partial,None,Toony,Plantigrade,Five,White,Blue,Domestic Cat,
,Jashire,Snow Leopard,196,,,2 Stupid Furs,3,Partial,None,Toony,Plantigrade,Four,Grey,Brown,Snow Leopard,
,Keifur,Hybrid Custom,120,,,2 Stupid Furs,3,Partial,None,Toony,Plantigrade,Four,Grey,Yellow,Hybrid,
,King,Wolf,210,,,2 Stupid Furs,3,Partial,None,Toony,Plantigrade,Four,Grey,Blue,Wolf,
,Ladybug,Hybrid Custom,120,,,2 Stupid Furs,3,Partial,None,Toony,Plantigrade,Four,Brown,Red,Hybrid,
,Moonstruck,Goat,106,,,2 Stupid Furs,3,Fullsuit,None,Toony,Digitigrade,Other,Pink,Brown,Goat,
,Quilly,Hybrid Custom,120,,,2 Stupid Furs,3,Partial,None,Toony,Plantigrade,Four,Brown,Green,Hybrid,
,Radio Solo,Hybrid Custom,120,,,2 Stupid Furs,3,Partial,None,Toony,Plantigrade,Five,Black,Green,Hybrid,
