Country,Region,Maker,"First Fursuit Social Media Post",Link,Suits Added: 838/855 - 99% Complete (132 Suits Remaining),No of Suits,Suits Added,Completed By
Multiple,Multiple,~Owner Made~,~Owner Made~,~Owner Made~,~Owner Made~,119,Complete,Ricotiger
United States,Virginia,1Pup Suits,08/11/2013,1Pup Suits,http://www.1pupsuits.com/,11,Complete,Ricotiger
United States,Oregon,2 Stupid Furs,11/11/2015,2 Stupid Furs,https://2stupidfurs.weebly.com/,26,Complete,Ricotiger
United Kingdom,Pembrokeshire,28 Paws Later (Madcrafts),08/07/2017,28 Paws Later,https://www.facebook.com/28pawslater/,6,Complete,Ricotiger
United States,New Jersey,79th Element,15/06/2012,79th Element,http://www.furaffinity.net/user/79thElement,10,Complete,Ricotiger
United States,Washington,8 Foot Rabbit,04/03/2011,8 Foot Rabbit,https://www.furaffinity.net/user/8footrabbit,7,Complete,Ricotiger
United States,Missouri,8AM,25/04/2015,8AM,http://www.furaffinity.net/user/8AM,5,Complete,Ricotiger
Australia,Unknown,8Bit-Works,05/05/2012,8Bit-Works,https://8bit-works.weebly.com/,12,Complete,Ricotiger
United States,California,A Ginger's Suits,10/04/2013,A Ginger's Suits,http://www.furaffinity.net/user/aGingerSuits,13,Complete,Ricotiger
United States,Alabama,Admirals Costumes,15/08/2010,Admirals Costumes,https://admiralscostumes.webs.com/,9,Complete,Ricotiger
United States,Unknown,Adorable Foxie,29/01/2011,Adorable Foxie,http://www.adorablefoxie.com/,11,Complete,Ricotiger
Korea,Unknown,Aheun Fursuit,06/02/2016,Aheun Fursuit,https://aheunzzip.wixsite.com/fursuit,19,Complete,Ricotiger
United States,Arizona,Ajax Suitengu,15/06/2012,Ajax Suitengu,http://www.furaffinity.net/user/ajaxsuitengu/,9,Complete,Ricotiger
United States,Unknown,Akorn Studios,15/10/2009,Akorn Studios,http://www.akornstudios.net/,2,Broken Link,Ricotiger
Montenegro,Unknown,Al Bird,06/02/2015,Al Bird,https://www.alfur.org/,1,No Names,Ricotiger
United Kingdom,Brighton,Albrecht,31/03/2008,Albrecht,https://albrecht-fur.livejournal.com/profile,3,No Names,Ricotiger
United States,California,Alien Eyes Creations,17/07/2014,Alien Eyes Creations,https://www.furaffinity.net/user/alien~eyes~creations,4,Complete,Ricotiger
Germany,Unknown,Alinchen Fursuits,25/08/2012,Alinchen Fursuits,https://www.deviantart.com/alinchen-tenny,7,Complete,Ricotiger
United States,Texas,Alinco Costumes,15/06/1989,Alinco Costumes,http://www.alincocostumes.com/,1,No Names,Ricotiger
United States,Unknown,All Fur Fun,02/03/2017,All Fur Fun,https://twitter.com/Splash_Wolf,13,Complete,Ricotiger
France,Unknown,Alpha Dogs,15/06/2014,Alpha Dogs,https://alphadogs.dk/,16,Complete,Ricotiger
United States,Alabama,Alpha Suits,15/07/2014,Alpha Suits,https://www.alphasuits.com/,18,Complete,Ricotiger
United States,Arizona,Amber Groves,22/06/2017,Amber Groves,https://twitter.com/AmberGroves_,5,Complete ,Shooter
Canada,Alberta,Amoryllis Studios,15/06/2009,Amoryllis Studios,http://www.amoryllisstudios.com/,2,Complete,Ricotiger
Brazil,Unknown,Andy Oagara,13/05/2010,Andy Oagara,http://oagaracompany.blogspot.com/,0,No Names,Ricotiger
Russia,Unknown,Angel Tigress,03/07/2015,Angel Tigress,https://www.deviantart.com/angel--tigress,14,Complete,Ricotiger
United States,Unknown,AngelDragon5,25/09/2014,AngelDragon5,http://www.furaffinity.net/user/AngelDragon5,13,Complete,Ricotiger
Canada,Quebec,Angry Red Fox,08/06/2017,Angry Red Fox,https://twitter.com/AngryRedFox,0,No Names,Shooter
United States,Unknown,AnnikaCat,15/06/2000,AnnikaCat,http://sfw.furaffinity.net/user/annikacat/,4,Complete,Ricotiger
United States,Washington,Anthropaws,15/06/2002,Anthropaws,http://www.furaffinity.net/user/anthropaws/,4,Complete,Ricotiger
France,Unknown,Aoi Kitsune,15/06/2000,Aoi Kitsune,https://www.furaffinity.net/user/aoi-kitsune/,11,Complete,Ricotiger
Canada,British Columbia,Apoxon,10/04/2016,Apoxon,https://twitter.com/apoxon_arts?lang=en,6,Complete,Ricotiger
United States,Unknown,Appalachian Fursuits,15/06/2003,Appalachian Fursuits,https://www.furaffinity.net/user/ruizaka/,2,Complete,Ricotiger
United States,Unknown,Apple Monster Studios,30/11/2013,Apple Monster Studios,https://www.deviantart.com/kazulgfox,15,Complete,Ricotiger
Germany,Unknown,Aqua Frost,15/06/2002,Aqua Frost,http://www.furaffinity.net/user/aqua-frost/,3,Complete,Ricotiger
United States,California,Arend Studios,16/052017,Arend Studios,http://www.arendstudios.com/home/home.php,106,Complete,Ricotiger
United States,North Carolina,ARocco Suits,15/03/2015,ARocco Suits,https://www.etsy.com/shop/ARoccoSUITS,3,Complete,Ricotiger
United States,Unknown,Around the Fur Studios,25/04/2009,Around the Fur Studios,https://aroundthefurstudio.webs.com/,23,Complete,Ricotiger
United States,California,Artemis Bobcat,24/10/2014,Artemis Bobcat,http://www.furaffinity.net/user/artemisbobcat,2,Complete ,Shooter
United States,Florida,ArtKour,06/09/2017,ArtKour,https://www.artkour.com/mascot/,19,Complete,Ricotiger
United States,Unknown,Artslave,15/06/2008,Artslave,http://artslave.me/,10,Complete,Ricotiger
France,Unknown,Arzhurenn,15/06/2001,Arzhurenn,http://www.furaffinity.net/user/arzhurenn/,4,Complete,Ricotiger
United States,Nevada,Astro Antlers,15/07/2014,Astro Antlers,https://astroantlers.wixsite.com/astroantlers/,20,Complete,Ricotiger
Germany,Karlsruhe,Atalon Deer,09/02/2012,Atalon Deer,https://www.furaffinity.net/user/atalonthedeer/,7,Complete,Ricotiger
Germany,Unknown,AtmosFur,24/03/2012,AtmosFur,https://www.furaffinity.net/user/atmosfur/,5,Complete,Ricotiger
United States,Unknown,Av0salt,25/10/2016,Av0salt,https://aminoapps.com/c/furry-amino/page/user/avo-salt/d37B_6pxHzfEwKrV2WNmR7MeMl7x741mq4K,6,Complete,Ricotiger
United States,Florida,Avsun Mascots,15/06/2001,Avsun Mascots,http://www.furaffinity.net/user/avsun/,2,Complete,Ricotiger
United States,Florida,Awesome Pawsome Mascots Costumes & More (Fuchsia Possum),06/04/2009,Awesome Pawsome Mascots Costumes & More,https://www.deviantart.com/fuchsiapossum,1,Complete,Ricotiger
United States,Texas,Azflip,06/04/2016,Azflip,http://www.furaffinity.net/user/azflip,3,Complete,Ricotiger
United States,Unknown,Azure Coyote Studios,15/09/2009,Azure Coyote Studios,http://www.azurecoyote.com/,7,Complete,Ricotiger
United States,Georgia,B3 Mascots,15/06/2005,B3 Mascots,http://b3mascots.com/,64,Complete,Ricotiger
United States,North Carolina,Bad Doge Suits,15/06/2016,Bad Doge Suits,https://www.furaffinity.net/user/baddogesuits/,8,Complete,Ricotiger
United States,Unknown,Barking Bats Creations,11/11/2004,Barking Bats Creations,https://twitter.com/BarkingBat,5,Complete,Ricotiger
United States,Georgia,Barking Mad! Suits,15/06/2013,Barking Mad! Suits,http://barkingmadsuits.com/,14,Complete,Ricotiger
United States,Unknown,Bat Cat Suits,16/09/2015,Bat Cat Suits,https://batcatsuits.wixsite.com/batcatsuits,29,Complete,Ricotiger
United States,California,Battitude Studios,15/12/2014,Battitude Studios,http://www.furaffinity.net/user/battitudestudios,13,Complete,Ricotiger
United States,Colorado,Beast Makers Fursuits,15/06/2017,Beast Makers Fursuits,https://www.furaffinity.net/user/beastmakersfursuits/,1,Complete,Ricotiger
United States,California,Beastcub Creations,15/06/2008,Beastcub Creations,http://www.beastcub.com/,307,Complete,Ricotiger
